	Shannon
900221	1.3271704612257025
900570	4.581212522679883
900091	3.7329092957660683
900245	5.102464260127376
900581	4.391688598841112
900145	3.2339101759072166
900364	4.855703849546976
900329	2.8107958569581144
900460	4.68095659956364
900293	3.3539196177040984
900544	3.805922874775326
900110	5.851340359312651
900247	4.674410961949454
900243	3.78927780222085
900590	1.7714018411883552
900596	1.7267654327121518
900308	0.8832233849997613
900249	4.055390077546878
900397	3.5316213919971116
900445	3.9814159267501763
900470	5.8648074115429285
900148	0.8572094314437698
900268	4.166271757248348
900122	1.1856190655329417
900068	4.606204228097456
900486	5.3629993957992745
900111	5.531630115235195
900414	3.703896955830072
900305	3.9094948220596066
900352	3.3802948934475383
900285	4.707723817435537
900241	4.355834269560017
900074	4.534575901112567
900340	4.222867018002558
900137	1.1059039187997393
900382	3.618068888530918
900625	4.373201705696185
900119	4.268810228113885
900303	5.37852994331128
900509	3.9181073661860655
900291	3.7799928537856515
900066	3.1346008850008045
900323	3.59122343823115
900418	3.713155295556915
900283	5.316076652497617
900494	3.569774807087128
900473	3.6770389263250975
900358	3.9884351212407183
900239	4.52688436357265
900078	3.341824005266674
900569	3.871063430159893
900463	0.9258689263918514
900572	4.450080392339873
900331	4.503486499509162
900578	4.613947739485095
900400	2.088355229608473
900360	5.66728037126008
900573	5.126628711131511
900631	2.8772394166311193
900497	4.447093769980046
900328b	3.1150064839514653
900302	4.658526870972873
900108	3.685367963483308
900610	3.276488499045185
900550	4.499354307218433
900356	3.3275481783836027
900622	1.8399986150697243
900482	4.935952832466619
900548	1.8209236318780675
900390	5.459073081171653
900446	4.300533998167332
900395	5.091713587091344
900256	3.1150048752643085
900113	2.0310007264012784
900325	4.079989281274709
900492	3.7769398636423315
900258	3.39661341965283
900334	3.8491510789486103
900394	5.422439597965739
900227	2.300151994286954
900476	5.007178957545943
900557	5.171309561986187
900392	1.0281453030387961
900613	4.723772187362185
900116	3.438210600266844
900064	4.4464921082846365
900226	1.8779643199913552
900440	1.0958429427401566
900374	3.9919626234440444
900082	3.976536488595441
900401	5.013036256827105
900500	3.2469650567604496
900439	5.025220769849737
900562	3.5535171383879733
900299	3.5259869872779834
900253	3.5402208185264525
900277	2.3532863025352615
900576	4.2716922776797785
900088	1.6550223269841517
900259	3.6708646429756198
900235	4.422809242799866
900485	5.3179460588263385
900238	4.638723949284336
900232	3.963710148177426
900084	4.37620128936923
900099	4.39250472892982
900262	2.6009320304270016
900255	3.4276926432241015
900319	4.863474046518348
900114	1.9468640111547775
900449	1.8924086800265931
900426	4.935808185307026
900491	4.24498025637769
900417	1.9852224503807063
900558	4.126572700005727
900508	3.5424462622309534
900117	2.4154046036533723
900598	1.9282930376882716
900070	5.07229129040785
900271	5.282895017364905
900384	4.87740208382399
900251	5.093842624940904
900313	3.421144962077559
900087	5.510335881048823
900546	3.4855901751631904
900555	5.168090234530131
900233	3.432284948025681
900102	1.5733750791186527
900584	4.329308110004908
900337	3.8657604685197544
900503	4.336872864373578
900575	4.145991785600835
900073	4.569600576710561
900335	4.90136899764515
900123	2.5857197492081054
900297	3.640423264695402
900281	4.809130665631901
900606	2.7932201348366377
900372	2.706681424481744
900224	0.9958241686904398
900585	3.2475643380076726
900090	5.061303908380584
900627	4.570791122502794
900261	5.258454198500196
900434	4.999394302132886
900063	4.2949176960986
900263	6.137211859203002
900081	4.203637575530464
900501	3.5924258953170973
900279	5.128357958576534
900097	5.661794332121768
